participant_id,timestamp,heart_rate_bpm
p01,2016-04-12 08:00:00,62.0
p01,2016-04-12 09:00:00,64.0
p01,2016-04-12 10:00:00,66.0
p01,2016-04-12 11:00:00,68.0
p01,2016-04-12 12:00:00,70.0
p01,2016-04-12 13:00:00,72.0
p01,2016-04-12 14:00:00,74.0
p01,2016-04-12 15:00:00,76.0
p01,2016-04-12 16:00:00,75.23529411764706
p01,2016-04-12 17:00:00,74.47058823529412
p01,2016-04-12 18:00:00,73.70588235294117
p01,2016-04-13 08:00:00,63.0
p01,2016-04-13 09:00:00,65.0
p01,2016-04-13 10:00:00,67.0
p01,2016-04-13 11:00:00,69.0
p01,2016-04-13 12:00:00,71.0
p01,2016-04-13 13:00:00,73.0
p01,2016-04-13 14:00:00,75.0
p01,2016-04-13 15:00:00,77.0
p02,2016-04-12 08:00:00,67.0
p02,2016-04-12 09:00:00,69.0
p02,2016-04-12 10:00:00,71.0
p02,2016-04-12 11:00:00,73.0
p02,2016-04-12 12:00:00,75.0
p02,2016-04-12 13:00:00,77.0
p02,2016-04-12 14:00:00,79.0
p02,2016-04-12 15:00:00,81.0
p02,2016-04-12 16:00:00,80.23529411764706
p02,2016-04-12 17:00:00,79.47058823529412
p02,2016-04-12 18:00:00,78.70588235294117
p02,2016-04-13 08:00:00,68.0
p02,2016-04-13 09:00:00,70.0
p02,2016-04-13 10:00:00,72.0
p02,2016-04-13 11:00:00,74.0
p02,2016-04-13 12:00:00,76.0
p02,2016-04-13 13:00:00,78.0
p02,2016-04-13 14:00:00,80.0
p02,2016-04-13 15:00:00,82.0
